epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,312.85,0.92127,0.68083,0.84548,0.89623,0.91716,0.96732,0.65338,1.03433,0.6232,0.92056,0.000218,0.000218,0.000218
92,316.081,0.87369,0.65144,0.85217,0.94591,0.84071,0.95819,0.67126,0.99614,0.63453,0.92436,0.0001982,0.0001982,0.0001982
93,319.436,0.87108,0.64353,0.84537,0.93437,0.8819,0.96238,0.66931,0.98727,0.63182,0.9141,0.0001784,0.0001784,0.0001784
94,322.654,0.86587,0.63223,0.84405,0.9336,0.87101,0.96509,0.67067,1.00191,0.6345,0.91889,0.0001586,0.0001586,0.0001586
95,325.858,0.87227,0.63945,0.85423,0.92051,0.89381,0.96552,0.66343,0.99793,0.62328,0.92045,0.0001388,0.0001388,0.0001388
96,329.063,0.85894,0.60935,0.85294,0.93446,0.88321,0.96311,0.67073,0.97614,0.61434,0.91813,0.000119,0.000119,0.000119
97,332.259,0.88103,0.64493,0.84138,0.92545,0.87611,0.96234,0.67752,1.00404,0.62544,0.92001,9.92e-05,9.92e-05,9.92e-05
98,335.616,0.82201,0.61174,0.85697,0.93563,0.90049,0.96803,0.67822,0.98543,0.61335,0.92347,7.94e-05,7.94e-05,7.94e-05
99,338.951,0.85871,0.61318,0.87115,0.95252,0.9115,0.97044,0.68587,0.98231,0.61119,0.91611,5.96e-05,5.96e-05,5.96e-05
100,342.288,0.82693,0.58895,0.84721,0.94165,0.9115,0.97041,0.67637,0.97428,0.59661,0.91438,3.98e-05,3.98e-05,3.98e-05
