epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,986.949,1.18869,0.74519,0.91335,0.8462,0.85841,0.92708,0.62131,1.09452,0.69233,0.92384,0.0011387,0.0011387,0.0011387
89,999.026,1.19123,0.72966,0.91824,0.81014,0.79303,0.88561,0.54054,1.25629,0.77473,0.95632,0.0011288,0.0011288,0.0011288
90,1010.02,1.24077,0.77139,0.92896,0.88934,0.78234,0.91963,0.59282,1.15993,0.72949,0.95292,0.0011189,0.0011189,0.0011189
91,1021.27,1.18426,0.74505,0.89896,0.91578,0.79646,0.9269,0.57845,1.18191,0.71747,0.92823,0.001109,0.001109,0.001109
92,1032.29,1.17172,0.72924,0.91104,0.90944,0.86726,0.9523,0.57459,1.24512,0.73932,0.92604,0.0010991,0.0010991,0.0010991
93,1043.13,1.16745,0.7488,0.8978,0.831,0.82679,0.92004,0.57385,1.25032,0.76711,0.91973,0.0010892,0.0010892,0.0010892
94,1053.93,1.23583,0.7482,0.89808,0.811,0.85841,0.90853,0.59821,1.12546,0.72561,0.9043,0.0010793,0.0010793,0.0010793
95,1064.76,1.17947,0.72225,0.88479,0.82489,0.84956,0.91366,0.61262,1.10224,0.71277,0.91872,0.0010694,0.0010694,0.0010694
96,1075.68,1.20739,0.71123,0.923,0.87199,0.78371,0.92165,0.61844,1.12354,0.7143,0.93368,0.0010595,0.0010595,0.0010595
97,1086.52,1.13448,0.71676,0.89609,0.79325,0.86726,0.91087,0.62137,1.04442,0.70456,0.92304,0.0010496,0.0010496,0.0010496
98,1098.54,1.09199,0.66298,0.92642,0.88867,0.72566,0.87876,0.54984,1.19003,0.80199,0.95177,0.0010397,0.0010397,0.0010397
99,1109.59,1.14912,0.7035,0.92251,0.87652,0.88496,0.9434,0.59437,1.17733,0.7069,0.93649,0.0010298,0.0010298,0.0010298
100,1120.49,1.17594,0.70005,0.90951,0.93332,0.86712,0.95444,0.62024,1.14563,0.69542,0.92932,0.0010199,0.0010199,0.0010199
